step,reward,score,bonus,dsp_jitter,dsp_shimmer,dsp_tilt,dsp_harmonics,dsp_threshold,dsp_ratio,dsp_bitrate,session_step,session_progress_pct
87673,82.50427078197154,0.517014741897583,58.16395467060893,-1.0,-1.0,-0.7270562,-0.32024324,-42.4723607301712,1.0,160000,26233.0,32.022705078125
87352,82.49994407577968,0.5169446468353271,58.15976355013347,-1.0,-0.69147414,-1.0,-0.68221736,-31.086080074310303,1.0,160000,25912.0,31.630859375
98849,82.491560277202,0.5168088674545288,58.15164244354075,-1.0,-1.0,-0.56384194,1.0,-35.56687355041504,1.0,160000,37409.0,45.665283203125
66147,82.45711628434839,0.5162516236305237,58.11827727207618,-0.9776182,-1.0,-1.0,-0.001478374,-25.54750084877014,1.0,160000,4707.0,5.745849609375
103286,82.43856388744942,0.5159518718719482,58.10030567492788,-1.0,-1.0,-0.98226166,1.0,-39.83331859111786,1.0,94349,41846.0,51.08154296875001
98845,82.43522345899508,0.5158979296684265,58.09706980084452,-1.0,-1.0,-0.53681415,1.0,-44.22299325466156,1.0,155856,37405.0,45.660400390625
67356,82.4196361154044,0.5156463384628296,58.08197025252908,-1.0,-0.85526884,-1.0,-0.23992318,-34.77291226387024,1.0,151778,5916.0,7.2216796875
134129,82.41265651077899,0.5155337452888489,58.0752090252288,-1.0,-1.0,-1.0,-0.28216016,-48.58604431152344,1.0,142508,72689.0,88.731689453125
95382,82.3965931788306,0.5152747631072998,58.0596481768831,-0.92992604,-1.0,-1.0,0.4777822,-56.847662925720215,1.0,160000,33942.0,41.43310546875
130896,82.38646063510876,0.51511150598526,58.04983251844591,-0.9042738,-1.0,-0.76861227,0.8177977,-27.15688824653625,1.0,160000,69456.0,84.78515625
131976,82.38092425663312,0.515022337436676,58.044469260287016,-1.0,-1.0,-1.0,0.31146938,-32.03647971153259,1.0,160000,70536.0,86.103515625
99009,82.36940256507378,0.514836847782135,58.03330779206471,-1.0,-0.98629606,-0.45835996,-0.20204747,-20.0,1.0,160000,37569.0,45.860595703125
129558,82.3603086986504,0.5146905183792114,58.02449819084581,-1.0,-1.0,-1.0,0.6370169,-49.625113010406494,1.0,160000,68118.0,83.15185546875
123340,82.35392018577747,0.5145877599716187,58.018309348771126,-0.7732979,-1.0,-1.0,0.91721815,-56.392085552215576,1.0,160000,61900.0,75.5615234375
77165,82.3457500440813,0.5144563913345337,58.01039452874872,-1.0,-0.95683664,-0.3292075,0.6050179,-23.70155930519104,1.0,160000,15725.0,19.195556640625
102967,82.33006411333784,0.5142043232917786,57.99519868777679,-1.0,-1.0,-0.04499322,0.52137494,-35.10705441236496,1.0,160000,41527.0,50.692138671875
113012,82.31150655264693,0.5139063596725464,57.97722076045015,-1.0,-1.0,-1.0,-0.92823493,-20.0,1.0,160000,51572.0,62.9541015625
81243,82.29038927327538,0.5135676264762878,57.95676283248298,-1.0,-0.38423312,-1.0,-0.7668169,-20.0,1.0,160000,19803.0,24.173583984375
103277,82.28578612833725,0.5134938359260559,57.95230338011422,-0.91880345,-1.0,-1.0,-0.8245915,-20.0,1.0,160000,41837.0,51.070556640625
95397,82.27409512946542,0.5133064985275269,57.94097727672198,-0.9309843,-1.0,0.8122882,1.0,-60.0,1.0,160000,33957.0,41.451416015625
79091,82.25075265374221,0.5129327774047852,57.91836313238757,-1.0,-1.0,-1.0,1.0,-31.53231739997864,1.0,131347,17651.0,21.546630859375
104895,82.25075265374221,0.5129327774047852,57.91836313238757,-1.0,-0.79184586,-1.0,1.0,-25.77723383903504,1.0,160000,43455.0,53.045654296875
104899,82.25075265374221,0.5129327774047852,57.91836313238757,-1.0,-1.0,-1.0,1.0,-20.0,1.0,160000,43459.0,53.05053710937499
79097,82.25075265374221,0.5129327774047852,57.91836313238757,-0.96405137,-1.0,-1.0,1.0,-20.0,1.0,160000,17657.0,21.553955078125
95491,82.23726741060315,0.512717068195343,57.90529851859511,-1.0,-0.13092518,-1.0,0.30436182,-25.476949214935303,1.0,148118,34051.0,41.566162109375
115882,82.2088295242294,0.5122626423835754,57.87774733434037,-0.67537373,-1.0,-1.0,0.65123886,-44.01709258556366,1.0,160000,54442.0,66.45751953125
67761,82.18958623979009,0.5119554996490479,57.85910381030469,-1.0,-1.0,-1.0,1.0,-37.43212401866913,1.0,160000,6321.0,7.716064453125
