step,reward,score,bonus,dsp_jitter,dsp_shimmer,dsp_tilt,dsp_harmonics,dsp_threshold,dsp_ratio,dsp_bitrate
1946,10.553526882730432,5.310652682055661e-07,2.6553263410278305e-05,0.6331873,-0.7285348,-1.0,0.931185,-29.442996978759766,1.0,130421
1947,55.520878488030675,0.6199789643287659,30.998948216438293,-0.13582593,-0.62669736,-0.95125705,-0.6015494,-60.0,1.0,131118
1948,20.499177521138265,0.0075933076441287994,0.37966538220643997,-1.0,-0.07163936,-1.0,-0.61360514,-22.298080921173096,3.8446152806282043,160000
1949,18.79346900313581,0.0018390872282907367,0.09195436141453683,-1.0,0.2659018,-0.42009822,1.0,-21.067031621932983,1.0,144137
1950,17.83122117218147,0.0007422011694870889,0.037110058474354446,-1.0,-0.7126168,-0.6389072,-0.34818673,-20.0,5.637734293937683,159925
1951,23.032737295561514,0.030473018065094948,1.5236509032547474,-1.0,-1.0,-0.9254796,0.6452975,-51.19699478149414,1.1990997791290283,160000
1952,5.304770323259596,1.7955701370198085e-09,8.977850685099042e-08,-1.0,-1.0,-0.9929987,-1.0,-39.949105121195316,1.126713216304779,148004
1953,14.478114396204562,2.6903129764832556e-05,0.0013451564882416278,0.9355986,-1.0,-0.09771788,-0.7503384,-52.80777335166931,1.0,160000
1954,25.173066147606946,0.05979723855853081,2.9898619279265404,-1.0,-1.0,-1.0,-0.68803924,-60.0,1.3399935364723206,105878
1955,7.363982062362346,2.091665507464313e-08,1.0458327537321566e-06,-1.0,-0.9490937,0.47741187,0.048564762,-38.085948675870895,1.0,32000
1956,8.391614401636357,6.024469456633597e-08,3.0122347283167983e-06,-1.0,-1.0,-1.0,-0.09956789,-60.0,3.962499260902405,160000
1957,73.07937902897488,0.9623550176620483,48.11775088310242,-1.0,-0.39301813,-1.0,-0.7277217,-43.01051467657089,1.0,160000
1958,73.01166549201662,0.9610283374786377,48.051416873931885,-1.0,-1.0,-1.0,-0.96041316,-20.0,1.0,135756
1959,10.636409032262138,5.77041703309078e-07,2.88520851654539e-05,-1.0,0.677837,-1.0,-0.44183677,-20.0,1.0,81545
1960,5.304766669596331,1.795559922967982e-09,8.97779961483991e-08,-0.49051106,-0.32215554,-0.08233863,-1.0,-42.429975271224976,4.32337498664856,33362
1961,8.711070817764497,8.329583778277083e-08,4.164791889138542e-06,0.7693856,-1.0,-0.93017316,0.36043632,-60.0,4.493937849998474,158659
